command,mean,stddev,median,user,system,min,max
exes/figmastartpage,0.0006403495600000002,0.00004977443085561097,0.0006302815600000002,0.0005359799999999999,0.00017435199999999996,0.0006009125600000001,0.0007232145600000001
/home/mschnei2/pin//pin -- exes/figmastartpage,0.20512436336,0.05841619846895569,0.24700018556,0.13545997999999998,0.07133868000000002,0.14087077656,0.24928339456
/home/mschnei2/pin//pin -t pintools/catmix.so -- exes/figmastartpage,1.20884489876,0.24723869281035377,1.25135301556,1.1196889799999998,0.09070388,0.9503697285600001,1.48915035156
/home/mschnei2/pin//pin -t pintools/dcache.so -- exes/figmastartpage,0.49791106336,0.0017978413253146616,0.49816608056000006,0.34786138,0.14929968000000002,0.49582148256,0.50011344256
/home/mschnei2/pin//pin -t pintools/inscount0.so -- exes/figmastartpage,0.23548741475999999,0.04401543164180075,0.21838910856,0.17933218,0.05794968,0.21206118656,0.31404727556000006
/home/mschnei2/pin//pin -t pintools/inscount1.so -- exes/figmastartpage,0.20604314576,0.0626092033019361,0.17773576256,0.14843118,0.058885480000000004,0.17655202456,0.31801106056000006
/home/mschnei2/pin//pin -t pintools/itrace.so -- exes/figmastartpage,0.99589420896,0.23512431178997326,1.14201973556,0.46556618,0.29990848,0.72224064456,1.18219155356
/home/mschnei2/pin//pin -t pintools/jumpmix.so -- exes/figmastartpage,0.27196687896,0.08425189708569206,0.21463894556,0.19018838,0.08267268000000001,0.20735121856,0.36517186256000006
/home/mschnei2/pin//pin -t pintools/opcodemix.so -- exes/figmastartpage,1.16322284916,0.11177310332236146,1.10319434656,1.0868071799999999,0.07762108,1.07919785856,1.33994650856
/home/mschnei2/pin//pin -t pintools/proccount.so -- exes/figmastartpage,1.49182303156,0.04645442901000007,1.4703932905600001,1.37604678,0.09759248000000001,1.46316832556,1.57357842356
