command,mean,stddev,median,user,system,min,max
exes/gameoflife,0.0004279449800000001,0.00007529628116646933,0.00043466198,0.00031665999999999997,0.000132632,0.00035694498,0.0005457629800000001
/home/mschnei2/pin//pin -- exes/gameoflife,0.19901115317999998,0.027596517032470264,0.21116858298,0.12998226000000002,0.07110752000000001,0.14965868198,0.21233556498
/home/mschnei2/pin//pin -t pintools/catmix.so -- exes/gameoflife,0.67484114078,0.1382077415199657,0.63873524398,0.6041526599999999,0.07300071999999999,0.52639428398,0.82575496398
/home/mschnei2/pin//pin -t pintools/dcache.so -- exes/gameoflife,0.43181204998,0.07293690101695033,0.40351346398000004,0.28390466,0.11784132,0.38254115498,0.56104587198
/home/mschnei2/pin//pin -t pintools/inscount0.so -- exes/gameoflife,0.30741919978000004,0.050309753365395914,0.33061356698,0.23531905999999997,0.07318011999999999,0.21747264998000002,0.33128020698
/home/mschnei2/pin//pin -t pintools/inscount1.so -- exes/gameoflife,0.27917299598000006,0.05327577740255196,0.28385478898,0.18382706,0.07792932,0.20217613398,0.35172986998
/home/mschnei2/pin//pin -t pintools/itrace.so -- exes/gameoflife,0.7017077653799999,0.12843869643858696,0.66879939698,0.2935222599999999,0.23898751999999995,0.54843413198,0.89661966098
/home/mschnei2/pin//pin -t pintools/jumpmix.so -- exes/gameoflife,0.19679324918000002,0.04378781646523398,0.17615619698,0.13326425999999997,0.06527712,0.16788013698,0.27140188998000003
/home/mschnei2/pin//pin -t pintools/opcodemix.so -- exes/gameoflife,0.83788985518,0.06845505492804714,0.8421411789800001,0.75761346,0.08230232,0.75128579198,0.90898167498
/home/mschnei2/pin//pin -t pintools/proccount.so -- exes/gameoflife,0.8735918765800001,0.1091050256177249,0.8447047509800001,0.7877334599999999,0.08794751999999999,0.77036480498,1.00201797498
