command,mean,stddev,median,user,system,min,max
exes/adi_ret0,0.0004478944799999999,0.00019330981645146743,0.00042348247999999985,0.00033084,0.000136208,0.00018591747999999983,0.00072849848
/home/mschnei2/pin//pin -- exes/adi_ret0,0.14785668288,0.031683914442135905,0.13191010048000001,0.09159283999999998,0.05702752,0.12259804948,0.19550942948
/home/mschnei2/pin//pin -t pintools/catmix.so -- exes/adi_ret0,0.5860798584800001,0.06136594513250199,0.6239531404800001,0.52738524,0.05955992,0.5160504744800001,0.63508209348
/home/mschnei2/pin//pin -t pintools/dcache.so -- exes/adi_ret0,0.30265733208,0.0669297166075413,0.30856359848000003,0.20263683999999998,0.09867192,0.22424545448000002,0.36766077048
/home/mschnei2/pin//pin -t pintools/inscount0.so -- exes/adi_ret0,0.21001014008000002,0.05792680425587468,0.17633559148,0.15984463999999998,0.05172992,0.16625001548,0.29849636748
/home/mschnei2/pin//pin -t pintools/inscount1.so -- exes/adi_ret0,0.19966505068,0.05340932386750838,0.20061756848,0.13044764,0.07023231999999999,0.13349910048,0.25361798748000003
/home/mschnei2/pin//pin -t pintools/itrace.so -- exes/adi_ret0,0.38474217548,0.04246801562785652,0.37899280748,0.25129184,0.12959192,0.34511251248,0.44432226648
/home/mschnei2/pin//pin -t pintools/jumpmix.so -- exes/adi_ret0,0.18274672988000001,0.042180816615133614,0.16320616448,0.11585404000000002,0.06801172,0.15258913148,0.25325858548
/home/mschnei2/pin//pin -t pintools/opcodemix.so -- exes/adi_ret0,0.60223709248,0.02974037974135898,0.59065916448,0.54451964,0.05899732,0.5756264024800001,0.64937793048
/home/mschnei2/pin//pin -t pintools/proccount.so -- exes/adi_ret0,0.79507818268,0.06254419897486703,0.76789296348,0.7223200399999999,0.07450472,0.7621264174800001,0.90651425048
