command,mean,stddev,median,user,system,min,max
exes/rguistyler_ret0,0.0005251104200000002,0.0002490061750101793,0.0004433616200000002,0.00017954,0.0002774,0.00033047762000000015,0.0009583436200000003
/home/mschnei2/pin//pin -- exes/rguistyler_ret0,0.19709558322000004,0.0009530960312194674,0.19747115962000003,0.12715534,0.0723743,0.19565688262000003,0.19801911862000002
/home/mschnei2/pin//pin -t pintools/catmix.so -- exes/rguistyler_ret0,1.05509834762,0.20586439876405294,1.1879298306200001,0.97316594,0.0841773,0.7988885236200001,1.2193217516200001
/home/mschnei2/pin//pin -t pintools/dcache.so -- exes/rguistyler_ret0,0.39600238902,0.043389119377348455,0.37945291662,0.26276734,0.1149495,0.37289049762,0.47338774862
/home/mschnei2/pin//pin -t pintools/inscount0.so -- exes/rguistyler_ret0,0.33656503002,0.05050359367334193,0.31120474562,0.23887633999999996,0.0708479,0.30524283162,0.42506225362
/home/mschnei2/pin//pin -t pintools/inscount1.so -- exes/rguistyler_ret0,0.19782402322,0.05688489079649682,0.17128802662000003,0.13833314,0.0617367,0.14740369762000002,0.26032137062
/home/mschnei2/pin//pin -t pintools/itrace.so -- exes/rguistyler_ret0,0.6264753346199999,0.3570480285413725,0.49036319862,0.25518633999999996,0.2981197,0.41932518462,1.25900367262
/home/mschnei2/pin//pin -t pintools/jumpmix.so -- exes/rguistyler_ret0,0.28362669921999994,0.0024589720352738483,0.28349495562,0.19819333999999997,0.0874791,0.28030282862,0.28723986662
/home/mschnei2/pin//pin -t pintools/opcodemix.so -- exes/rguistyler_ret0,1.08016353182,0.23794414610930156,0.9200524586200001,1.00695774,0.0748837,0.89704383462,1.3410726936200001
/home/mschnei2/pin//pin -t pintools/proccount.so -- exes/rguistyler_ret0,1.4824467496200002,0.30107545462583835,1.34618882262,1.35261014,0.1115931,1.18952385562,1.8138751976200003
